Hour,DryBulb,ACCFactor,ACCPower,PumpPower,RadiatorPower,IndoorEquipmentPower,ITLoss,MEPLoss,FacilityPower,HourlyPUE
1,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
2,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
3,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
4,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
5,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
6,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
7,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
8,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
9,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
10,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
11,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
12,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
13,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
14,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
15,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
16,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
17,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
18,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
19,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
20,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
21,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
22,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
23,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
24,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
25,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
26,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
27,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
28,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
29,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
30,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
31,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
32,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
33,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
34,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
35,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
36,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
37,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
38,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
39,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
40,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
41,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
42,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
43,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
44,-1.29,0.34290000000000004,370.33200000000005,54.0,108.0,72.0,112.73741579509351,2.4852810991967544,4679.554696894291,1.1817057315389623
